medcodeid,term,snomedct_conceptid,snomedct_descriptionid,eth16_2001,eth18_2011,eth19_2021
141431000000111,scottish - ethnic category 2001 census,92541000000108,141431000000111,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
2486161000000112,white - northern ireland ethnic category 2011 census,977351000000100,2486161000000112,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
141451000000116,northern irish - ethnic category 2001 census,92561000000109,141451000000116,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
1780408016,other white british ethnic group,401214002,1780408016,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
2487321000000116,white: other british - scotland ethnic category 2011 census,977931000000106,2487321000000116,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
1564391000006113,british,1564391000006109,1564391000006113,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
1968051000006116,white:eng/welsh/scot/ni/brit - england and wales 2011 census,976631000000101,2484631000000115,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
158341000000117,british or mixed british - ethnic category 2001 census,92391000000108,158341000000117,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
459726019,white british,315236000,459726019,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
196641000006110,race: caucasian,413773004,2537215011,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
1780407014,white scottish,401213008,1780407014,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
1063981000000117,white british - ethnic category 2001 census,494131000000105,1063981000000117,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
2487281000000112,white: scottish - scotland ethnic category 2011 census,977911000000103,2487281000000112,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
157281000000117,english - ethnic category 2001 census,110761000000106,157281000000117,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
142691000000116,ulster scots - ethnic category 2001 census,93921000000101,142691000000116,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
6846371000006111,caucasian,413773004,2533842018,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
285925010,white,185984009,285925010,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
141441000000119,welsh - ethnic category 2001 census,92551000000106,141441000000119,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
141461000000118,cornish - ethnic category 2001 census,92571000000102,141461000000118,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
2484671000000118,white: irish - england and wales ethnic category 2011 census,976651000000108,2484671000000118,Irish,Irish,Irish
2487361000000112,white: irish - scotland ethnic category 2011 census,977951000000104,2487361000000112,Irish,Irish,Irish
1564961000006118,irish,1564961000006102,1564961000006118,Irish,Irish,Irish
285978014,irish (nmo),186014006,285978014,Irish,Irish,Irish
1064041000000111,white irish - ethnic category 2001 census,494161000000100,1064041000000111,Irish,Irish,Irish
141301000000110,irish - ethnic category 2001 census,92401000000106,141301000000110,Irish,Irish,Irish
459727011,white irish,315237009,459727011,Irish,Irish,Irish
937411000006115,other white or white unspecified ethnic category 2001 census,94051000000109,158491000000118,Any other White background,Any other White background,Any other White background
937311000006113,commonwealth (russian) indep states - ethn categ 2001 census,88961000000104,138221000000118,Any other White background,Any other White background,Any other White background
138201000000110,polish - ethnic category 2001 census,88941000000100,138201000000110,Any other White background,Any other White background,Any other White background
142791000000111,other mixed white - ethnic category 2001 census,94031000000102,142791000000111,Any other White background,Any other White background,Any other White background
138191000000113,gypsy/romany - ethnic category 2001 census,88931000000109,138191000000113,Any other White background,Gypsy or Irish Traveller,Roma
138231000000116,albanian - ethnic category 2001 census,88971000000106,138231000000116,Any other White background,Any other White background,Any other White background
713341000000111,british israelite,368051000000100,713341000000111,Any other ethnic group,Any other ethnic group,Any other ethnic group
459728018,other white ethnic group,185984009,285926011,Any other White background,Any other White background,Any other White background
142741000000118,kosovan - ethnic category 2001 census,93981000000100,142741000000118,Any other White background,Any other White background,Any other White background
285987017,other european (nmo),186017004,285987017,Any other White background,Any other White background,Any other White background
157991000000110,serbian - ethnic category 2001 census,88981000000108,157991000000110,Any other White background,Any other White background,Any other White background
411594011,greek (nmo),275599007,411594011,Any other White background,Any other White background,Any other White background
937371000006116,other republics former yugoslavia - ethnic categ 2001 census,94011000000105,142771000000112,Any other White background,Any other White background,Any other White background
1968251000006113,irish traveller - northern ireland ethnic cat 2011 census,977371000000109,2486201000000116,Any other White background,Gypsy or Irish Traveller,Gypsy or Irish Traveller
138171000000114,irish traveller - ethnic category 2001 census,88911000000101,138171000000114,Any other White background,Gypsy or Irish Traveller,Gypsy or Irish Traveller
142721000000113,turkish cypriot - ethnic category 2001 census,93951000000106,142721000000113,Any other White background,Any other White background,Any other White background
1968081000006112,white: other white backgrd- eng+wales ethnic cat 2011 census,976691000000100,2484751000000118,Any other White background,Any other White background,Any other White background
142751000000115,bosnian - ethnic category 2001 census,93991000000103,142751000000115,Any other White background,Any other White background,Any other White background
2645811000000115,roma ethnic group,718958002,2678971000000113,Any other White background,Any other White background,Roma
937391000006115,oth white european/european unsp/mixed european 2001 census,94041000000106,142801000000110,Any other White background,Any other White background,Any other White background
1968461000006111,white: other white ethnic grp- scotland ethnic cat 2011 cens,978031000000109,2487521000000113,Any other White background,Any other White background,Any other White background
156921000000110,turkish - ethnic category 2001 census,110401000000103,156921000000110,Any other White background,Any other White background,Any other White background
141661000000115,cypriot (part not stated) - ethnic category 2001 census,92791000000109,141661000000115,Any other White background,Any other White background,Any other White background
411595012,greek cypriot (nmo),275600005,411595012,Any other White background,Any other White background,Any other White background
142761000000117,croatian - ethnic category 2001 census,94001000000108,142761000000117,Any other White background,Any other White background,Any other White background
937301000006110,baltic estonian/latvian/lithuanian - ethn categ 2001 census,88951000000102,138211000000112,Any other White background,Any other White background,Any other White background
141311000000112,other white background - ethnic category 2001 census,92411000000108,141311000000112,Any other White background,Any other White background,Any other White background
138181000000111,traveller - ethnic category 2001 census,88921000000107,138181000000111,Any other White background,Gypsy or Irish Traveller,Gypsy or Irish Traveller
158481000000115,italian - ethnic category 2001 census,93961000000109,158481000000115,Any other White background,Any other White background,Any other White background
142711000000119,greek cypriot - ethnic category 2001 census,93941000000108,142711000000119,Any other White background,Any other White background,Any other White background
1968441000006112,white: gypsy/irish traveller - scotland ethnic cat 2011 cens,977971000000108,2487401000000115,Any other White background,Gypsy or Irish Traveller,Gypsy or Irish Traveller
142701000000116,greek - ethnic category 2001 census,93931000000104,142701000000116,Any other White background,Any other White background,Any other White background
411597016,turkish cypriot (nmo),275602002,411597016,Any other White background,Any other White background,Any other White background
2487481000000113,white: polish - scotland ethnic category 2011 census,978011000000101,2487481000000113,Any other White background,Any other White background,Any other White background
459786016,irish traveller,315283003,459786016,Any other White background,Gypsy or Irish Traveller,Gypsy or Irish Traveller
405071018,turkish/turkish cypriot (nmo),270467002,405071018,Any other White background,Any other White background,Any other White background
